#separator:Semicolon
#html:false
What two numbers run through all power-supply design?;Ripple ∆V (how far the output sags between recharges) and efficiency η = Pout/Pin.
Linear vs switching regulator: the core trade-off?;Linear gives clean output but poor η. Switching gives high η at the cost of high-frequency ripple. Every design trades these off.
Load regulation and load sensitivity?;Load regulation is the output change ∆Vout for a stated load-current change ∆Iout. Load sensitivity S_I = ∆Vout/∆Iout, an output resistance in ohms.
Line regulation and line sensitivity?;Line regulation is the output change ∆Vout for an input change ∆Vin. Line sensitivity S_V = ∆Vout/∆Vin.
Ripple rejection in dB?;20·log₁₀(∆Vin/∆Vout).
Efficiency and dissipated power of a regulator?;η = Pout/Pin. The dissipated power Pd = Pin − Pout becomes heat — size the heat sink from it.
Why are static (DC) regulation figures not the whole story?;During a transient load step the output can deviate by hundreds of mV, far more than the 25-30 mV static value. Always check the transient response, not just the steady-state table.
Block chain of a classical transformer power supply?;Wall socket → fuse + switch → EMC filter → transformer (step-down + isolation) → rectifier → filter capacitor → voltage regulator → load.
Pros and cons of the classical transformer supply?;Very clean output, but poor efficiency and a pulsed (spiky) input current.
What does a transformer do to voltage and current?;Scales voltage by the turns ratio Vs/Vp = Ns/Np and isolates galvanically. Ideally lossless, so Vp·Ip = Vs·Is.
Full-wave vs half-wave rectifier: ripple period?;Full-wave bridge flips the negative half-cycles, so it ripples at twice the line frequency (period T/2). Half-wave passes only the positive halves (period T).
How much voltage does a full-wave bridge rectifier drop?;Two diode drops, 2·V_D (each real diode drops 1-2 V).
Why is a transformer supply designed backwards from the load?;The regulator needs a minimum input (output + dropout), the ripple eats into that margin, the bridge eats two diode drops, and the mains may sag 10 percent — each stage adds its demand to the one before.
Sizing steps for the transformer and rectifier?;Pick V_MAX so the ripple valley clears the regulator (V_MAX − ∆V ≥ Vout + V_DO,min). Secondary peak = V_MAX + 2·V_D, so V_S,RMS = (V_MAX + 2·V_D)/√2. Divide by 0.9 for mains −10 percent, pick the next standard secondary, ratio Np/Ns = V_P,RMS/V_S,RMS.
How are the rectifier diodes rated?;Reverse voltage ≥ V_MAX with margin, and repetitive peak current ≥ I_peak from the filter.
Filter-capacitor ripple formula?;∆V = I_out·T_dis/C, with T_dis = T/2 (full-wave) or T (half-wave).
Why does a half-wave rectifier need twice the filter capacitance?;It discharges for the whole period T instead of T/2, so the same ripple ∆V needs twice the charge, hence twice the C.
Conduction time of the filter capacitor?;t_c = (T/2π)·cos⁻¹[(V_MAX − ∆V)/V_MAX] — the angle at which the rising rectified sine re-reaches V_MAX − ∆V.
Peak charging current of the filter capacitor?;From charge balance ½·t_c·I_peak = I_out·T, so I_peak = 2·I_out·T/t_c.
The filter-capacitor trade-off?;A larger C gives smaller ripple ∆V but a larger peak current I_peak, because the conduction time t_c shortens. Choose against both specs.
Why does the input current of a transformer supply arrive as tall narrow spikes?;The capacitor only recharges during the short conduction time t_c near each peak, so all the charge is crammed into a brief window, giving a tall I_peak.
Define power factor.;PF = P/S, real power over apparent power. Regulations require PF ≳ 0.9.
Two effects that lower the power factor?;A phase shift between voltage and current (displacement, cos φ) and harmonic distortion (factor 1/√(1+THD²)).
The power triangle?;S = √(P² + Q²), with PF = cos φ = P/S. S is apparent power (VA), P real power (W), Q reactive power (var).
Power factor of a resistive vs a purely inductive load?;Resistive: v and i in phase, p ≥ 0, PF = 1. Purely inductive: i lags 90°, p averages to zero, PF = 0 — yet the current still loads the line.
Current magnitude and phase of a series R-L load?;|I_S| = V_S/√(R² + (ωL)²), with phase ∠I_S = −arctan(ωL/R).
Real and apparent power of an R-L load?;S = V_RMS·I_RMS, P = V_RMS·I_RMS·cos φ, and PF = P/S = cos φ.
How is power factor corrected, and the capacitor formula for an R-L load?;Add a capacitor in parallel to cancel the reactive part. For an R-L load, ∠I_S = 0 requires C = L/(ω²L² + R²). The load voltage and current are unchanged — only the source current is brought into phase.
What does the PFC capacitor formula reduce to for a pure inductor?;Resonance: C = 1/(ω²L). The LC pair is a parallel resonator at the line frequency, and ideally I_S = 0 as energy sloshes between L and C each quarter-cycle.
Why does a PFC capacitor cut the source current without changing the load power?;It supplies the inductor's reactive energy locally (sloshing between L and C), so the grid no longer carries that exchange — same real power, far less current drawn from the grid.
What is a linear regulator, fundamentally?;A variable series resistance (a transistor) driven by feedback to hold the output constant. It is essentially a non-inverting amplifier whose reference is a Zener or band-gap.
Output voltage of a linear regulator?;V_L = V_REF·(1 + R1/R2), set by the feedback divider.
Dropout condition for a linear regulator?;Vout = Vin − V_DO. Regulation holds only while Vin > Vout + V_DO,min at every instant, so the ripple valley V_MIN must stay above the dropout floor (V_DO,min ≈ 2 V for a 78xx).
Dissipation in a linear regulator?;P_reg ≈ (Vin − Vout)·I_out = V_DO·I_out — all of it heat.
Efficiency of a linear regulator?;η = Vout/Vin = 1 − V_DO/Vin. The best case is η_max = Vout/(Vout + V_DO,min).
Why do switching regulators exist (the linear-regulator weakness)?;Because η = Vout/Vin, low output voltages waste most of the input power as heat (η_max ~43 percent at 1.5 V out). Switchers avoid that loss.
What is an LDO and how does it help?;A Low-Drop-Out regulator replaces the common-collector NPN with a PNP or pMOS pass device, so V_DO can be a few mV — recovering efficiency at low Vout, at the cost of trickier stability (an external output capacitor sets a compensation pole).
The thermal check for a linear regulator?;Junction rise = P_reg·R_th above ambient (a bare TO-220 has R_th ≈ 60 K/W). Compare Tj = T_amb + rise against the 125 °C limit, and add a heat sink (lower R_th) if needed.
How does a switching regulator achieve high efficiency?;It transfers energy using only reactive components (inductor, capacitors) and switches, so ideally it dissipates nothing — η → 100 percent, in practice 80-90 percent.
What is the duty cycle of a switching regulator?;δ = T_ON/T_SW. A primary switch SW1 (an nMOS) chops at f_SW with duty δ, and a secondary switch SW2 (a diode) conducts in the opposite phase.
CCM vs DCM for the inductor current?;The inductor current is triangular. In Continuous Conduction Mode it never reaches zero. In Discontinuous Conduction Mode it does (at low output current). No load is always DCM.
Buck converter CCM transfer ratio?;Vout = δ·Vin (step-down).
Boost converter CCM transfer ratio?;Vout = Vin/(1 − δ) (step-up).
