#separator:Semicolon
#html:false
What is the basic input-output relation of an op-amp?;vout = A_d·(v₊ − v₋) — a differential amplifier with a huge but ill-defined gain A_d.
Why must a useful op-amp circuit not depend on A_d, and how is that achieved?;A_d is huge but poorly known and drifts with part, temperature and frequency. Negative feedback makes the result depend on resistor ratios instead of on A_d.
State the two golden rules of ideal op-amp analysis.;(1) the differential input is driven to zero, v₊ ≈ v₋ (virtual short). (2) no current enters the inputs, i₊ = i₋ = 0.
Which ideal limits give the two golden rules?;A_d → ∞ (so v_d = vout/A_d → 0, the virtual short) and r_d → ∞ (so the input currents vanish).
What is a virtual ground?;When negative feedback holds v₊ ≈ v₋ and the + terminal is grounded, the − node sits at 0 V even though no current flows into it.
Name the five ideal one-op-amp building blocks.;Non-inverting and inverting voltage amplifiers, transresistance (I→V), transconductance (V→I), and the current amplifier (I→I).
Non-inverting amplifier: gain, Rin, Rout?;A_V = 1 + R2/R1 (always ≥ 1), Rin = ∞, Rout = 0.
Inverting amplifier: gain, Rin, Rout?;A_V = −R2/R1, Rin = R1 only, Rout = 0.
Transresistance amplifier: output and resistances?;vout = −R2·iin (the − node is a virtual ground), Rin = 0, Rout = 0. The gain −R2 has units of ohms.
Current amplifier: output and resistances?;iout = (1 + R2/R)·iin, independent of the load. Rin = 0, Rout = ∞.
Transconductance amplifier: output and resistances?;iout = vin/R1 (gain 1/R1 in siemens), Rin = ∞, Rout = ∞.
How do you analyse any ideal op-amp amplifier?;Identify the type from what is in and out, confirm feedback to the − terminal, apply the golden rules (v₋ = v₊, i = 0), write KCL/KVL at the input node, and solve for the transfer function.
Voltage follower: how is it configured and why the best buffer?;Non-inverting amp at unity gain (R1 = ∞, R2 = 0), so β = 1 — the largest feedback factor, giving the highest Rin and lowest Rout, at the price of no amplification. Used for impedance matching.
Why can a non-inverting stage never attenuate?;Because A_V = 1 + R2/R1 ≥ 1 always. To get |A_V| < 1 you must use an inverting stage.
What is the input resistance of an inverting amplifier, and why can't feedback fix it?;Only R1. If the source has resistance R_S the gain becomes −R2/(R1+R_S), so keep R1 ≫ R_S.
Define the feedback factor β and loop gain T for the standard topology.;β = R1/(R1+R2) and T = A_d·β.
Closed-loop gain with finite A_d?;G = (1/β)·T/(1+T). It is smaller than the ideal 1/β by the factor T/(1+T) and tends to 1/β as T → ∞.
How does the finite-A_d gain error scale with loop gain?;As 1/T. Dividing T by 100 multiplies the error by ~100, so high-gain stages (small β, small T) suffer most. At low gain it is usually negligible versus resistor tolerances.
How does negative feedback transform input and output resistance?;Rin = r_d·(1+T) (multiplied up) and Rout = r_o/(1+T) (divided down).
Describe the test-source method for Rin or Rout.;Kill independent sources (V→short) but keep dependent ones, apply a test source V_x at the port, find the resulting I_x, and the port resistance is V_x/I_x.
Why does the voltage follower give the best impedances a device can offer?;β = 1 is the largest possible feedback factor, hence the largest T. Rin and Rout improve in proportion to T, and the follower spends all its loop gain on impedances, none on amplification.
Why is the feedback resistor R2 bounded from below by IMAX?;The output current feeds both load and feedback network. Keep the feedback share I_fb < I_load/10. Worst case R2 sees 2·V_PS, giving the bound R2 > 10·2·V_PS/I_load.
Why does a common-mode response exist in a real op-amp?;Any two-input amp obeys vout = A1·V1 + A2·V2. A perfect differential amp has A1 = −A2, but a real one does not quite, leaving a common-mode response.
Differential and common-mode gain in terms of A1 and A2?;With v_d = V1−V2 and V_C = ½(V1+V2): A_d = (A1−A2)/2 and A_C = A1+A2. A_C is zero only if A1 = −A2 exactly.
Define CMRR and how to recover the ratio from dB.;CMRR = A_d/A_C, quoted in dB as 20·log₁₀(A_d/A_C). Recover it as CMRR = 10^(CMRR_dB/20).
What does CMRR actually measure?;How thoroughly the device ignores common-mode input (interference coupling equally onto both inputs, like 50 Hz mains hum) — not how much common mode is present. Higher is better.
Why is a large raw common-mode gain usually harmless with feedback?;In closed loop the common-mode term is divided by ~2·CMRR, so the transfer function collapses to the ordinary (1/β)·T/(1+T). Feedback hides the imperfection.
