#separator:Semicolon
#html:false
What is the HAL?;The Hardware Abstraction Layer — high-level and portable. You work with handle structures (e.g. UART_HandleTypeDef) and call functions like HAL_UART_Transmit(&huart2, data, len, timeout). It hides register details and ports easily across STM32 chips, but is bulky, has call overhead, and its timing is hard to predict.
What is the LL library?;The Low-Layer library — thin, mostly static inline wrappers mapping almost one-to-one onto register operations (e.g. LL_USART_TransmitData8). Tiny, fast and deterministic, but closer to the metal and less portable.
When do you use HAL versus LL?;HAL to bring a system up quickly and for code that is not timing-critical. Drop to LL (or raw registers) on the hot paths — inside ISRs, high-rate loops, or a flash-starved chip — where you need speed, determinism, or size. They can coexist in one project.
How does HAL handle an interrupt (three-layer dispatch)?;The vector entry USART2_IRQHandler calls the generic HAL_UART_IRQHandler(&huart2), which reads the status register, figures out which event fired, clears the flag, advances its state machine, and then calls a callback you override (e.g. HAL_UART_RxCpltCallback). You never touch a status bit.
How does LL handle an interrupt?;There is no dispatch layer — the IRQ handler is your code, checking and clearing flags directly (e.g. if LL_USART_IsActiveFlag_RXNE then read the data). Fewer cycles and full control, but you are responsible for every flag.
What is a callback?;A function you write that the library calls when an event occurs — inversion of control. The library exposes a named hook (e.g. HAL_UART_RxCpltCallback) and promises to call it. You provide the body, the library provides the timing.
What is a weak symbol?;A symbol marked __attribute__((weak)) provides a default definition the linker uses only if no other (strong) definition exists. A same-named function without weak silently overrides it — no error, no configuration, it just wins.
How do weak symbols make HAL callbacks work?;The HAL ships an empty weak default for every callback, so the link always succeeds. If you define your own callback with the same name, yours (strong) is linked and the empty weak one is dropped — you override exactly the callbacks you care about.
How do weak aliases power the vector table?;Every startup vector entry is a weak alias to a single Default_Handler (an infinite loop). An unused IRQ still points somewhere valid, and the instant you define a strong handler with the exact name, the vector points at your code. That is why naming a function correctly installs an ISR.
Why might my callback or ISR never run despite compiling?;Almost always a name/signature mismatch. A typo (HAL_UART_RxCallback instead of RxCpltCallback, or Timer2_IRQHandler instead of TIM2_IRQHandler) creates an unrelated function, leaves the weak default in place, and your handler is silently never called. The weak mechanism matches by exact name.
Why might adding a second USART2_IRQHandler cause multiple definition even with weak symbols?;CubeMX emits a strong (non-weak) handler, and two strong definitions of the same symbol is a multiple-definition error. Weak overriding only works when exactly one definition is weak — edit the generated handler (in its USER CODE markers) or remove it so only your strong one remains.
