#separator:Semicolon
#html:false
Why use an RTOS instead of a super-loop?;A bare-metal super-loop becomes fragile when you have several activities with different rates and urgencies. An RTOS lets you write each as an independent task and have a priority scheduler run them, blocking idle ones so the CPU is never wasted.
What kind of scheduler is FreeRTOS?;Preemptive and priority-based. At each tick (and on certain events) it runs the highest-priority task that is ready.
Name the FreeRTOS task states.;Running (executing, one per core), Ready (able to run but a higher-priority task is running), Blocked (waiting for an event — a queue item, delay, semaphore — consuming no CPU), and Suspended (explicitly parked).
What is the central skill in RTOS code?;Make every task block when it has no work, so the scheduler can run someone else or sleep the chip. A task that busy-waits starves lower-priority tasks and defeats the point of an RTOS — good RTOS code spends most of its time blocked.
What is the canonical shape of a task?;A C function that never returns: it loops, and inside the loop it blocks on something (a delay, a queue, a semaphore), does its work, then loops again.
Why does each task need its own correctly-sized stack?;Each task has its own stack. Size it wrong and it overflows into a neighbour — the silent, no-MMU corruption. Use the stack-overflow check hook and the high-water-mark API (uxTaskGetStackHighWaterMark) to right-size them.
How do you assign task priorities?;Give the tightest-deadline work the highest priority (the motor loop above the UI). But a high-priority task that never blocks will never let lower ones run — priority orders who goes first, not who is more important to finish eventually.
What is the cardinal rule of RTOS communication?;Do not share global variables between tasks with ad-hoc locking — pass messages through queues.
What is a FreeRTOS queue?;A thread-safe FIFO that copies items in and out, blocking the sender when full and the receiver when empty (with an optional timeout). Because it copies and locks internally, producer and consumer never touch shared memory, so the whole class of race conditions does not arise.
What is priority inversion?;A low-priority task holds a mutex, a high-priority task blocks waiting for it, then a medium-priority task (needing no mutex) preempts the low task — so the medium task indirectly blocks the high one, inverting priorities. It famously nearly killed the Mars Pathfinder mission.
How does a mutex fix priority inversion?;Via priority inheritance: while a high-priority task waits on the mutex, the low-priority holder is temporarily bumped to the high priority so it finishes and releases the lock quickly. A plain binary semaphore has no priority inheritance, so use mutexes — not semaphores — for resource locking.
What are the intended jobs of mutex, binary semaphore, counting semaphore, event groups, and notifications?;Mutex protects a shared resource. Binary semaphore signals an event happened (often ISR→task). Counting semaphore manages a pool of N identical resources. Event groups and task notifications do efficient flag-style synchronisation (notifications are the fastest, lightest way to signal exactly one task).
What two iron rules connect interrupts to FreeRTOS?;From an ISR call only the ...FromISR API variants (an ISR cannot block), and keep ISRs minimal — defer the real work to a task (deferred interrupt handling), keeping latency tiny for everyone.
What is the ISR→queue→task pattern?;The short ISR reads the byte (clearing the flag) and xQueueSendFromISR()s it, then portYIELD_FROM_ISR. A separate task blocks on xQueueReceive and does the slow parsing. This keeps the ISR microseconds long and moves heavy work into a preemptible task.
What does portYIELD_FROM_ISR(woken) do?;If sending to the queue unblocked a task more urgent than the interrupted one, it requests a context switch on ISR exit so the urgent task runs immediately rather than after the current task's time slice.
Why does handling UART bytes entirely inside the ISR drop bytes at high baud?;While the long ISR runs (e.g. a slow CRC in parse), the next byte arrives and overruns the receive register, and it delays every other interrupt. Moving parsing to a task cuts the ISR to a few microseconds so it always finishes before the next byte.
