#separator:Semicolon
#html:false
What is an embedded system, versus a classic computer?;A computer built into a product to do one fixed job for years, usually with no visible OS and no installable software. A classic computer (PC/phone) is general-purpose and runs whatever software you give it.
What does a PC optimise for, versus an embedded system?;A PC optimises for average-case throughput and programmer convenience. An embedded system optimises for cost, power, determinism and reliability — usually at the expense of convenience.
Two contrasting philosophies of PC vs embedded?;PC = abundance and abstraction (lots of RAM/disk, thick OS/library stack hiding the hardware). Embedded = scarcity and direct control (KBs of RAM, thin abstractions, your code is the lowest layer touching real addresses).
How does an MCU's processing core differ from a PC CPU?;PC CPUs are multi-core, GHz, super-scalar, out-of-order with big caches for average speed. MCU cores are a single core, 8-600 MHz, short pipeline, often no cache — predictability is the feature, not peak speed.
What two memory levels matter on a typical MCU?;On-chip flash (non-volatile, holds program + constants, code executes from it) and on-chip SRAM (volatile, holds variables/stack/heap). Usually no DRAM and no disk.
What happens on an MCU if you run out of RAM?;There is no swap and no paging — you do not page out, you crash. RAM is tiny and precious.
MMU vs MPU on a microcontroller?;Most MCUs have no MMU, so one flat physical address space with no virtual memory or hardware isolation. Some Cortex-M parts have an optional MPU that can only mark regions read-only/no-execute — it does not give virtual addresses.
What is the practical danger of having no MMU?;A wild pointer in firmware can scribble over anything — peripheral registers, the stack, other data — with no OS to catch it.
How does hardware access differ on an MCU vs a PC?;On a PC you ask the OS through a driver. On an MCU the peripherals are on the same die and appear as memory-mapped registers — special addresses that control hardware directly when read or written.
Why don't MCUs just add more memory?;More memory is more die area, which means more cost and more leakage current. Shaving cents matters across millions of units, and coin-cell nodes must idle at microamps.
What does bare-metal firmware look like?;No OS — just your code in an infinite super-loop plus interrupt handlers. When a kernel exists it is usually a small RTOS (a few KB of scheduler and synchronisation), with no users, files, or program loading.
Why must firmware be cross-compiled?;The target has no keyboard, screen, disk or compiler. You build on the PC (host) with a cross-compiler that emits machine code for the target architecture, then flash the binary into the chip.
How is firmware's memory layout decided, versus a PC's?;On a PC the loader maps and relocates the executable at run time. In firmware the layout is fixed at link time by a linker script (code in flash at 0x08000000, variables in SRAM at 0x20000000), everything statically linked into one image.
In firmware, what does real-time mean?;Not fast — provably on time, every time. Late can be wrong (a missed motor-control deadline stalls the motor or blows the bridge), so you avoid constructs whose timing you cannot bound.
Why do watchdog timers exist?;A fielded firmware crash may be unrecoverable and dangerous, and a product may run untouched for decades. A watchdog is a hardware timer that resets the chip if your code stops petting it.
Name the three points on the device spectrum.;MCU (microcontroller: CPU+flash+SRAM+peripherals on one chip, bare-metal/RTOS), MPU/application processor (powerful Cortex-A needing external DRAM/flash, MMU, full OS like Linux), and SoC (umbrella term for any chip integrating a CPU with peripherals).
What is the embedded mindset for sizing a problem?;Do a back-of-the-envelope resource check first (e.g. samples × bytes vs available SRAM). On an MCU the answer dictates the architecture — store externally, transmit off-device, or down-sample/compress.
How do the core constraints justify firmware's rules?;No abundant RAM → avoid malloc, allocate statically. No MMU → a stray pointer corrupts hardware, so be disciplined. Memory-mapped peripherals → the register model and volatile. Real-time → careful interrupts/RTOS. Cost/power → fixed-point and smart power switching.
