#separator:Semicolon
#html:false
What is an interrupt?;A mechanism by which a peripheral tells the CPU exactly when something happened, so the CPU stops its current work, runs a handler, and resumes — instead of repeatedly asking.
Polling vs interrupts for waiting on an event?;Polling spins reading a status bit (simple and deterministic but monopolises the CPU and wastes power). Interrupts let the peripheral signal the CPU, which is then free to do work or sleep until the event.
How does an interrupt invert control?;Instead of the CPU repeatedly asking the peripheral (polling), the peripheral tells the CPU when something happened — trading a little complexity for big gains in efficiency, responsiveness, and power.
What are the steps when an interrupt is taken?;Finish/abandon the current instruction, save context (return address + state), look up the handler address in the vector table, jump to the ISR, then return-from-interrupt restoring the context so the interrupted code resumes unaware.
What does Cortex-M hardware stack automatically on interrupt entry?;Eight registers (R0-R3, R12, LR, PC, xPSR), so a plain C function can serve as the ISR with no assembly glue.
What is the interrupt vector table?;An array of function-pointer addresses at a fixed location, one slot per interrupt/exception source. The core indexes it to find the right handler.
What are vector-table slots 0 and 1 on Cortex-M?;Slot 0 holds the initial stack pointer, slot 1 holds the reset handler's address. The rest are exception and interrupt handlers in a chip-defined order.
What is the NVIC, and what do vectored and nested mean?;The Nested Vectored Interrupt Controller on Cortex-M. Vectored = the hardware itself selects the right handler from the table (no software dispatch). Nested = a higher-priority interrupt can preempt a lower-priority ISR.
What is interrupt latency?;The delay from the request being asserted to the first instruction of the ISR executing — finishing the current instruction, context save, and vector fetch. On Cortex-M it is a fixed published number (e.g. 12 cycles).
What is tail-chaining?;If a second interrupt is pending when an ISR finishes, the core skips the pop-then-push and goes straight into the next ISR, saving redundant stack traffic.
What is late arrival in interrupt handling?;If a higher-priority interrupt arrives during the context save of a lower-priority one, the core switches to the higher-priority handler without redoing the stacking.
What does preemption / nesting of interrupts mean?;If a high-priority interrupt fires while a low-priority ISR is running, it preempts the low one — the low ISR is itself interrupted, the high ISR runs to completion, then the low ISR resumes.
On Cortex-M, which priority value is most urgent?;Lower numerical value = higher urgency. Priority 0 is the most urgent. Only the upper bits of the priority field are implemented, so e.g. writing 1 and 2 may give the same effective priority.
Why is a variable shared with an ISR dangerous?;An ISR runs asynchronously and can fire between any two machine instructions of your main code, so a shared variable can be read torn or stale — the source of the nastiest firmware bugs.
What two things must any ISR-shared variable have?;It must be volatile (so the compiler always re-reads it, never caches a stale copy) and be accessed atomically (naturally a single instruction, or protected by a critical section).
What is a torn read?;On an 8/16-bit CPU, reading a 32-bit value takes several instructions. If the ISR fires between them you read a half-updated value. Fixed with a critical section (briefly disable the interrupt around the access).
Why must an ISR be kept short?;It steals the CPU from everything of lower priority. Do the minimum (read the byte, clear the flag, set a flag for main), then return — defer real work to the main loop or a task.
Why must an ISR clear the interrupt flag?;If you forget, many peripherals re-assert the request immediately and your ISR fires forever.
What must an ISR never do?;Never block (no busy-waits, no delay(), no waiting on another interrupt it has preempted) and no malloc/printf (slow, non-deterministic, often not reentrant).
Interrupt vs exception (trap/fault)?;An interrupt comes from a peripheral (timer, UART). An exception comes from the core reacting to the instruction stream (divide-by-zero, unaligned access, bus fault). On Cortex-M both use the vector table, and faults land in HardFault_Handler.
What is an NMI?;A non-maskable interrupt — it cannot be disabled, reserved for truly critical events such as a clock failure.
What is the lost-wakeup race with sleep?;If the interrupt fires between the if(!flag) test and the __WFI() sleep instruction, the flag is already set but the CPU still sleeps and may never wake. __WFI wakes on a pending interrupt, so latching the request before sleep prevents it.
What is the seqlock pattern for reading a multi-part value lock-free?;Read the overflow count, then the counter, then the overflow count again. If the two reads of the count differ, an overflow happened in between, so retry — a lock-free alternative to a critical section.
