#separator:Semicolon
#html:false
What is a full-bridge (H-bridge)?;Four switches that can apply the supply across a load in either polarity — letting you drive a DC motor both ways or generate an AC waveform. Used in motor drivers, inverters, and class-D audio.
How is an H-bridge built?;Four switches form two legs (half-bridges) between V+ and ground, with the load bridging the two leg midpoints — the shape gives the H.
How do you get forward and reverse in an H-bridge?;Forward: turn on the diagonal Q1 (top-left) and Q4 (bottom-right) so current flows left-to-right through the load. Reverse: turn on the other diagonal Q2 and Q3 so current flows the other way.
How do you set speed and brake an H-bridge?;Speed: PWM the active switches — the duty cycle sets the average voltage hence speed. Brake: turn on both low switches (or both high) to short the motor terminals, dissipating its kinetic energy.
What is shoot-through?;In one leg, the top and bottom switches conduct at the same time, connecting V+ straight to ground through only their tiny on-resistance — an enormous current spike (cross-conduction) that destroys the transistors in microseconds.
Why does shoot-through happen even with correct logic?;Turning a switch off is not instantaneous (gate charge must be removed, BJTs have storage time, gate-driver propagation adds delay). Commanding Q1 off and Q2 on at the same instant leaves Q1 still partly conducting when Q2 turns on — a brief overlap that shorts the rail. The faster you switch, the more it matters.
What is dead-time?;A deliberate interval inserted between turning one switch in a leg off and the complementary switch on, during which both are off. Make it longer than the worst-case turn-off delay and the outgoing switch is fully off before the incoming one conducts.
Where is dead-time implemented?;Timer-based: STM32 advanced-control timers (TIM1, TIM8) generate complementary PWM with a built-in dead-time generator — the usual route for motor control. Driver-based: many gate-driver/bridge ICs enforce a minimum dead-time (cross-conduction prevention) internally.
How do you size the dead-time?;Just longer than the worst-case turn-off delay (including gate-driver propagation), with margin — e.g. 300 ns for a 200 ns turn-off. Too long wastes part of the period and distorts the output (and loses efficiency), while too short risks shoot-through. Fast, well-characterised switches let you use less.
Why can't software reliably prevent shoot-through?;Even if the commanded states are never both high, the finite turn-off delay causes a brief overlap on every commutation, and software cannot reliably insert sub-microsecond jitter-free gaps. Hardware (an advanced-timer dead-time generator or a protective gate driver) guarantees a both-off guard on every edge, deterministically.
