#separator:Semicolon
#html:false
What does malloc actually manage?;A region of RAM called the heap. It hands out blocks on request and reclaims them on free, tracking which parts are in use with bookkeeping metadata stored alongside your data.
What hidden cost does each malloc'd block carry?;A hidden header (storing at least its size, often flags/links) precedes the returned pointer, plus alignment padding — so malloc(16) consumes more than 16 bytes.
How does the allocator find and reclaim blocks?;Free blocks are threaded onto a free list. On malloc it walks the list for a block big enough (first-fit or best-fit) and splits it if too large. On free the block returns to the list and is coalesced with free neighbours.
Why is writing just before or past a malloc'd buffer catastrophic?;The header lives just before the returned pointer, so p[-1]=0 or writing past the end corrupts the allocator's metadata. The crash then happens later inside the next malloc/free, far from the real bug.
What is the program break, and what is _sbrk?;The program break is the boundary between heap-in-use and free memory. When the allocator needs more raw memory it calls _sbrk, which moves the break upward.
On bare metal with newlib, who provides _sbrk?;You do. A typical _sbrk advances a static break pointer and returns -1 (failure) if the break would collide with the current stack pointer.
Why is the shared heap/stack space the root of heap anxiety?;The heap grows up and the stack grows down in the same block of RAM, with no MMU to police the boundary. If they meet you get a malloc failure (if _sbrk checks) or silent corruption (if it does not).
What is external fragmentation?;Even with plenty of total free memory, malloc can fail because no single contiguous block is large enough. It is the killer in long-running systems.
Why is malloc's timing a problem for hard real-time?;The time it takes depends on the free-list state — it may find a block instantly or walk a long list and split, and free may coalesce. This variability is poison for a bounded worst-case deadline.
Why is a malloc failure hard to handle in deeply embedded code?;malloc can return NULL but there may be no safe exit, and a forgotten NULL check becomes a wild-pointer write (no MMU to trap it). The failure is input-dependent and intermittent, appearing only after a fragmenting allocation history.
Why is the allocator a reentrancy hazard?;Its free list is global mutable state. If an interrupt or another task calls malloc mid-update, the list corrupts. You must implement the malloc lock/unlock hooks under an RTOS and never call malloc from an ISR.
Name the four reasons embedded developers distrust the heap.;Fragmentation, non-deterministic timing, run-time failure with nowhere to go, and reentrancy/thread-safety.
What do we use instead of the heap?;Static allocation (declare everything at compile time, footprint checked by the linker), fixed-block pools (equal-sized blocks — no external fragmentation, O(1) deterministic alloc/free), and RTOS-managed heaps (e.g. FreeRTOS heap_1..heap_5).
Why does a fixed-size block pool avoid external fragmentation?;With one block size, any freed block exactly fits any future request, so the free memory can never scatter into unusable mismatched gaps.
Why does live bytes never exceed X not guarantee malloc succeeds?;Fragmentation — never exceeding X live bytes does not guarantee a contiguous X is available, because frees of mixed-size blocks scatter the free memory. Only fixed-size pools (or fully static allocation) restore the guarantee.
