#separator:Semicolon
#html:false
What does C have instead of modules?;Translation units (.c files compiled separately) glued by the linker, with .h files as the hand-maintained contracts between them.
Declaration versus definition?;A declaration introduces a name and its type (promises it exists somewhere) and may appear many times. A definition actually creates it (storage for a variable, body of a function) and may appear exactly once — the One-Definition Rule.
What is the one-sentence rule for headers vs source files?;Headers carry declarations, source files carry definitions.
What belongs in a header (.h)?;An include guard, type definitions (typedef/struct/union/enum), macros and static inline functions, function prototypes for public functions, and extern declarations of public globals.
What must a header NOT contain?;Function bodies or (non-inline) variable definitions — a header included by N source files would then create N definitions and the linker rejects the duplicates.
What is an include guard and why?;#ifndef NAME / #define NAME / ... / #endif. A header may be reached more than once (A includes B and C, both include D), and the guard makes the second inclusion a no-op so types are not redefined. (#pragma once does the same in one line.)
What belongs in a source file (.c)?;It includes its own header first (so the compiler checks definitions against declarations), defines the public functions and the one real definition of each public global, and holds private helpers/state marked static (internal linkage).
External versus internal linkage?;External (default for file-scope functions/globals) makes a name visible to the linker and shareable across files. Internal (static at file scope) makes it private to its translation unit — two files can each have a static int count with no clash.
What are the two unrelated meanings of static?;At file scope it means internal linkage (private to the file). On a local variable it means static storage duration (persists across calls, lives in .data/.bss, not the stack). Same keyword, two meanings — context tells you which.
How do you correctly share a global across files?;Put a declaration extern int g in the header, and the single definition int g = 0 in exactly one .c file. Putting int g = 0 in the header instead defines it in every including file — a multiple-definition link error.
What is a function prototype and why is it mandatory?;A declaration that includes the parameter types. Without it, a pre-C99 compiler implicitly assumes int return and accepts any unchecked arguments, so a wrong call (e.g. passing a double where a pointer is expected) becomes a run-time catastrophe instead of a compile error.
How does a missing prototype reinterpret your bits?;Calling double scale(double) as int y = scale(2) with no prototype passes the integer 2 where a double is expected and reads an int result — the bit patterns are reinterpreted as garbage, no warning, crashing far away. Including the header makes the compiler convert and check.
