#separator:Semicolon
#html:false
What does a floating-point number store?;A sign, an exponent, and a fraction (mantissa), representing ±1.f × 2^e — like scientific notation in binary.
What are the IEEE 754 float and double formats?;float = single precision, 32 bits (1 sign, 8 exponent, 23 fraction), ~7 decimal digits, range ~10^±38. double = double precision, 64 bits (1 sign, 11 exponent, 52 fraction), ~15-16 digits.
What is floating-point's strength and weakness?;Strength: huge dynamic range (the same float holds 0.0001 and 1000000). Weakness: precision is relative (big numbers have coarse spacing) and most values are not exactly representable (famously 0.1).
What is the difference between a hardware FPU and software emulation?;A Cortex-M4F/M7 has a hardware FPU, so a float multiply is one fast instruction. A Cortex-M0/M0+/M3 has no FPU, so every float operation is emulated by a library routine — tens to hundreds of cycles each, slow and image-bloating.
Why does double matter even on an M4F?;The M4F has only a single-precision FPU, so a double is still emulated in software. Writing 3.14 (a double literal) instead of 3.14f can silently drag in the slow software-double library.
How do you keep float maths fast on a single-precision FPU?;Add the f suffix to literals (0.5f not 0.5) and use float math functions (sinf not sin). A stray double forces software emulation, multiplying runtime ~10x and adding kilobytes of code. Also printf("%f") pulls in a large float formatter.
What is fixed-point representation?;Plain integers with an implied binary point. In Qm.n format, n bits are the fraction and the stored integer raw represents the real value x = raw / 2^n.
What is Q15 and its range/resolution?;A signed 16-bit value with n=15, representing numbers in [-1, +1) with resolution 2^-15 ≈ 3.05e-5 — the workhorse of audio/DSP. To store 0.75: 0.75 × 2^15 = 24576.
How do you add and multiply Q-format numbers?;Add/subtract two same-Q values by just adding the integers (watch overflow). Multiply two Qn values gives 2n fraction bits, so use a wider intermediate and shift back by n — e.g. Q15×Q15 in a 32-bit product, then p >> 15.
What are fixed-point's trade-offs?;Fast and deterministic on any CPU (just integer math, identical cost everywhere) with uniform absolute precision. The price: limited range (overflow risk you manage with scaling/saturation) and the mental burden of tracking the binary point and shifts.
What is the rule of thumb for choosing a number representation?;On a Cortex-M4F/M7 with an FPU, use float (with the f suffix). On an FPU-less M0/M3, or when you need bit-exact deterministic DSP or the smallest code, use fixed-point. Reserve double for when you truly need its precision and can pay for emulation.
Why does porting a float routine from an M4F to an M0+ blow the deadline and flash budget?;The M0+ has no FPU, so every float/double op that was one instruction on the M4F is now an emulated software routine — tens of times slower — and the emulation/formatting libraries bloat the image. The real fix on a no-FPU part is usually fixed-point.
