#separator:Semicolon
#html:false
Why does an MCU need dedicated debug hardware?;It has no OS to host a debugger and you may need to debug code that crashed the CPU itself. So the chip carries logic that can halt the core, read/write its registers and memory, set breakpoints, and stream trace over a few pins — even when the application is dead.
What is CoreSight?;ARM Cortex-M's family of on-chip debug hardware (DAP, FPB, DWT, ITM, ETM, ...), separate from the CPU's normal function.
What is the Debug Access Port (DAP)?;The gateway: an external probe (ST-Link, J-Link) talks to the DAP over the debug pins, and the DAP gives it access to the chip's internal buses to read/write memory and registers while the core runs or is halted.
SWD versus JTAG?;JTAG is the classic 4-5-wire interface (TCK, TMS, TDI, TDO, nTRST). SWD (Serial Wire Debug) is ARM's 2-wire replacement (SWDIO, SWCLK) doing the same job on far fewer pins — the norm on Cortex-M.
What is the FPB / breakpoint unit?;The Flash Patch and Breakpoint unit compares the program counter against a few programmed addresses and halts the core on a match — a hardware breakpoint, needing no code change.
What is the DWT?;The Data Watchpoint and Trace unit watches data addresses and halts (or counts/traces) on access — a watchpoint. It also holds cycle counters for profiling.
What are ITM/SWO and ETM?;ITM (Instrumentation Trace Macrocell) lets firmware emit printf-style messages out a single SWO pin with almost no CPU cost. ETM (Embedded Trace Macrocell) streams the full instruction trace for after-the-fact reconstruction.
Hardware versus software breakpoint?;A hardware breakpoint (FPB comparator) needs no code change so it works on flash, but there are only a handful (e.g. 6 on a Cortex-M4). A software breakpoint overwrites the instruction with BKPT, has no count limit, but only works in writable (RAM) memory.
Why does GDB lean on hardware breakpoints for flash-resident code?;Software breakpoints work by overwriting the target instruction with BKPT, which needs writable memory. Flash cannot be patched byte-by-byte at run time, so flash-resident code must use the FPB's finite hardware comparators.
What does cannot insert breakpoint - too many hardware breakpoints mean?;Not a bug — the FPB has only a finite number of comparators (e.g. 6) and you have asked for more. Remove some breakpoints or use a watchpoint instead.
What is a watchpoint and what is it good for?;Via the DWT, it halts the core when a memory location is read or written, regardless of which instruction did it. Ideal for the some code is corrupting this variable and I don't know who bug — it stops on the culprit with the call stack intact.
What can the debug unit let you do?;Halt/resume/single-step the core, read/write any register or memory (including live peripheral registers), set breakpoints and watchpoints, inspect the call stack and locals, flash new firmware, and attach to a crashed chip for a post-mortem (read the fault status registers).
SWO/ITM trace versus semihosting?;SWO/ITM writes a byte to an ITM register that streams out the SWO pin costing a few cycles and never halting the core — good for hard-real-time logging. Semihosting executes a BKPT the debugger interprets as host I/O, but it halts the core per call and needs a debugger attached — never ship it.
Why is non-intrusive trace important for real-time loops?;Halting changes timing, which is fatal when debugging a real-time control loop. SWO/ITM lets you observe without stopping time.
