#separator:Semicolon
#html:false
Classic vs embedded system in one line?;A PC is general-purpose, optimised for average-case throughput and convenience. An embedded system is special-purpose, optimised for cost, power, determinism and reliability, running one job (often invisibly) for years.
Key hardware differences, PC vs MCU?;PC: GHz multi-core, GB DRAM with an MMU and virtual memory, TB storage, 10s-100s W. MCU: MHz single-core, KB-MB on-chip SRAM and Flash with no MMU, register-level peripherals, mA-µA power.
Why does embedded code avoid dynamic memory, recursion and virtual memory?;To preserve determinism. Embedded systems often have hard deadlines, so unpredictable timing (allocation, garbage collection, paging, unbounded loops) is unacceptable.
Failure model: PC vs bare-metal MCU?;On a PC the OS catches and reports faults. On a bare-metal MCU a wild pointer silently corrupts memory or triggers a HardFault that locks the chip — often the only feedback is that the LED stopped blinking.
What is an interrupt?;A hardware-triggered jump in the CPU's normal flow. An event forces the CPU to save state, jump to an Interrupt Service Routine (ISR), run it, then resume as if nothing happened.
Interrupts vs polling — why use interrupts?;Polling constantly checks each peripheral, wasting CPU, adding latency up to the polling period, and preventing sleep. Interrupts let the CPU sleep or do useful work and react only when needed.
Interrupt mechanism step by step on Cortex-M?;Peripheral asserts an IRQ, the NVIC prioritises and signals the core, the core finishes its instruction and hardware-stacks a context (xPSR, PC, LR, R12, R3-R0), loads the PC from the vector table entry, the ISR runs and clears the source, then returns via EXC_RETURN and the hardware unstacks.
What is the interrupt vector table?;An array of function pointers at a fixed address (the start of Flash on Cortex-M). The core loads the PC from the entry matching the IRQ number.
Why must an ISR clear its interrupt source?;Otherwise the interrupt re-fires forever. The ISR must read the data register or write the flag-clear bit.
Maskable vs non-maskable interrupt (NMI)?;Maskable IRQs can be globally disabled (cpsid i on Cortex-M, cli on AVR). The NMI cannot be masked — it is reserved for catastrophic events like clock failure or a watchdog pre-warning.
Interrupt priority and preemption rule?;Each interrupt has a priority. A higher-priority interrupt can preempt a lower-priority ISR already running. Same-priority interrupts do not preempt each other, they queue.
What is re-entrancy, and which library functions break it?;A function callable from both an ISR and main code without corruption — no static state, or protected by critical sections. strtok, rand and malloc are not re-entrant.
Interrupt latency on Cortex-M?;Time from event to the first ISR instruction. Cortex-M3/M4 is 12 cycles, deterministic, including the hardware stacking. This determinism is the whole point of Cortex-M for real-time.
Tail-chaining and late arrival?;Tail-chaining: if a new IRQ is pending when an ISR finishes, the unstack and re-stack are skipped. Late arrival: if a higher-priority IRQ arrives during the stacking of a lower one, the higher one runs first.
The number-one ISR mistake?;Doing too much work inside it. ISRs should be short — read the byte, push it to a queue, signal a task, return. Long ISRs raise worst-case latency for everything and look fine in testing but explode in the field.
The four stages of the GCC build model?;Preprocess (.c to .i, expand includes and macros), compile (.i to .s, emit assembly), assemble (.s to .o, machine code with symbol table and relocations), link (.o plus libraries to .elf, resolve references and lay out memory).
