#separator:Semicolon
#html:false
What is a load switch and why is one needed?;A transistor the GPIO controls, which switches the real load current. A GPIO sources only a few mA at 3.3 V, while motors/heaters/solenoids want amperes at higher voltage — the transistor bridges that gap.
Why control a transistor's gate/base instead of driving the load directly?;A GPIO is a logic output, not a power source. Driving a 1 A motor from a 20 mA pin would do nothing or destroy the pin. The pin instead controls the gate (MOSFET) or base (BJT), which carries the load current.
What is a low-side switch?;The transistor sits between the load and ground. The load's top is tied to V+, and the transistor connects or disconnects the load's bottom to ground.
Why is a low-side switch easy to drive?;The transistor's source/emitter is at ground — the same reference as the MCU — so a 3.3 V GPIO directly provides the needed VGS (or base drive). No level shifting, no charge pump.
What is the catch with a low-side switch?;When off, the load's bottom floats but its top is still at V+ — the load is not fully de-energised, just lacking a return path. A short from the load to ground would energise it without the MCU's consent.
What is a high-side switch?;The transistor sits between V+ and the load (whose bottom is grounded). When on the load sees full supply, and when off the load is at 0 V — genuinely disconnected from power.
Why is a high-side switch wanted?;The load is truly off (zero volts across it), which is safer and mandatory in many systems — automotive especially, where a low-side fault to chassis ground could turn something on unexpectedly.
Why is a high-side NMOS switch hard to drive?;Its source is at the load (near V+ when conducting), so the gate must be driven above V+ (e.g. a 12 V rail needs ~22 V at the gate). A 3.3 V GPIO cannot do that — you need a gate driver with a charge pump (or a level shifter), or a P-channel device (driven below V+, easier but worse on-resistance and cost).
How do you use a BJT as a switch rather than an amplifier?;Drive it into saturation: supply enough base current that VCE(sat) collapses to a few tenths of a volt, so it behaves like a closed switch. Enough means more than IC/β — you deliberately overdrive with a forced β of 10-20.
Why must an inductive load have a flyback diode?;Switching off an inductive load (motor, solenoid, relay) makes the inductor try to keep current flowing, generating a large reverse spike (v = L·di/dt) that destroys the transistor. A flyback diode across the load gives that current a safe path. Forgetting it is a common, destructive beginner mistake.
Low-side vs high-side: load state when off and drive difficulty.;Low-side: load floats with its top still at V+, easy gate/base drive (referenced to GND), no extra circuitry. High-side: load truly at 0 V (safer), but the gate must exceed V+ so it needs a charge pump / gate driver / PMOS.
For a grounded load, what usually decides low-side vs high-side?;The electrical job is identical, so the safety requirement chooses. Low-side is the cheap default, but if rules require the load be provably de-energised when off (so a chassis short cannot run it), you need high-side and its harder gate drive.
